name
"""Weird Al"" Yankovic"
50 Cent
A. J. Benza
A. J. Langer
A. Jay Radcliff
A. Michael Baldwin
A. Russell Andrews
A.D. Johnson
A.D. Miles
A.J. Buckley
A.J. Cook
A.J. DeLucia
A.J. Johnson
A.J. Tecce
AJ Bowen
AJ Diana
AJ Michalka
Aadukalam Naren
Aaliyah
Aamir Khan
Aaran Thomas
Aaron Abrams
Aaron Ashmore
Aaron Brown
Aaron Burns
Aaron Carter
Aaron Eckhart
Aaron Frazier
Aaron Himelstein
Aaron Hotch
Aaron Jackson
Aaron Jaeger
Aaron Kwok
Aaron Langridge
Aaron Lohr
Aaron Michael Drozin
Aaron Murphy
Aaron Paul
Aaron Poole
Aaron Ruell
Aaron Spivey-Sorrells
Aaron Stanford
Aaron Staton
Aaron Takahashi
Aaron Taylor-Johnson
Aaron Tveit
Aaron Wolff
Aaron Yoo
Aasheekaa Bathija
Aasif Mandvi
Abbas
Abbey Lee
Abbey Lincoln
Abbey Thickson
Abbie Cobb
Abbie Cornish
Abby Mukiibi Nkaaga
Abby Wait
Abdelghafour Elaaziz
Abdelhafid Metalsi
Abdul Alshawish
Abdul Henderson
Abdul Salis
Abe Larkin
Abhay Deol
Abhinay Vaddi
Abhishek Bachchan
Abigail Bianca
Abigail Breslin
Abigail Chu
Abigail Hargrove
Abigail Lowe
Abigail Spencer
Abraham Benrubi
Abraham Sofaer
Abu George Shibli
Ace Marrero
Ace Yonamine
Actor Sergio Kato
Ad van Kempen
Ada Choi
Adam Alexi-Malle
Adam Arkin
Adam Baldwin
Adam Barnett
Adam Beach
Adam Berry
Adam Bousdoukos
Adam Boyd
Adam Brody
Adam Brooks
Adam Butcher
Adam Campbell
Adam Carolla
Adam Chanler-Berat
Adam Clayton
Adam Cockburn
Adam Crosby
Adam David Thompson
Adam DeFilippi
Adam Devine
Adam DiMarco
Adam Driver
Adam Ferrara
Adam Fogerty
Adam G. Sevani
Adam Garcia
Adam Godley
Adam Goldberg
Adam Greaves-Neal
Adam Hann-Byrd
Adam Harrington
Adam Hendershott
Adam Herschman
Adam Horovitz
Adam Kotz
Adam Lamberg
Adam Lazarre-White
Adam LeFevre
Adam Leese
Adam Levine
Adam Levy
Adam Marcello
Adam Pally
Adam Pascal
Adam Paul
Adam Powell
Adam Rayner
Adam Rifkin
Adam Rodríguez
Adam Rose
Adam Sandler
Adam Scott
Adam Shapiro
Adam Storke
Adam Szyszkowski
Adam Trese
Adar Beck
Addison Timlin
Ade Oyefeso
Adeel Akhtar
Adel Karam
Adelaide Clemens
Adelaide Kane
Adele Givens
Adele Lamont
Adele Mara
Adelina Quinones
Aden Gillett
Aden Young
Adepero Oduye
Adetomiwa Edun
Adewale Akinnuoye-Agbaje
Adhir Kalyan
Adi Carauleanu
Adi Zulkadry
Adiel Stein
Adil Hussain
Adil Koukouh
Adilah Barnes
Adilet Usubaliyev
Adithya Menon
Aditya Roy Kapoor
Adivi Sesh
Adjoa Andoh
Adolfo Celi
Adolfo Lastretti
Adolph Caesar
Adolph Davis
Adolphe Menjou
Adoni Maropis
Adrian Bustamante
Adrian Dunbar
Adrian Gaeta
Adrian Gonzalez
Adrian Grenier
Adrian Holmes
Adrian James
Adrian Lester
Adrian Martinez
Adrian Paul
Adrian Robinson
Adrian Ross Magenty
Adrian Scarborough
Adriana Barraza
Adriana Caselotti
Adriana Domínguez
Adriane Lenox
Adrianne Palicki
Adriano Giannini
Adrien Antoine
Adrien Brody
Adrien Dorval
Adrien Stoclet
Adriene Mishler
Adrienne Barbeau
Adrienne Frantz
Adrienne King
Adrienne Pickering
Adrienne Shaw
Adrienne Shelly
Adrián Alonso Barona
Aedin Mincks
Aeryk Egan
Afemo Omilami
Affif Ben Badra
Affion Crockett
Afifi Alaouie
Afra Sophia Tully
Afton Williamson
Agata Kulesza
Agata Trzebuchowska
Agathe de La Boulaye
Agnes Bruckner
Agnes Herrmann
Agnes Moorehead
Agni Scott
Agniya Ditkovskite
Agostino Borgato
Agrippina Steklova
Agustín Bernal
Aharon Ipalé
Ahmad Kaabour
Ahmad Khan Mahmoodzada
Ahmad Massad
Ahmed Best
Ahmed Hassan
Ahmir-Khalib Thompson
Ahn Gil-kang
Ahn Sung-Ki
Ahna O'Reilly
Ahnaise Christmas
Ahney Her
Ahsaas Channa
Ai Tominaga
Aicha Abadir
Aida Elkashef
Aida Folch
Aida Turturro
Aidan Devine
Aidan Gillen
Aidan McArdle
Aidan Quinn
Aidan Turner
Aiden Flowers
Aiden Lovekamp
Aimee Carrero
Aimee Garcia
Aimee Graham
Aimee Teegarden
Aisha Hinds
Aisha Tyler
Aishwarya Rai Bachchan
Aislinn DeButch
Aislinn Derbez
Aitana Sánchez-Gijón
Aja Naomi King
Ajay Naidu
Akemi Goto
Aki Aleong
Akie Kotabe
Akihiro Miwa
Akiko Takeshita
Akiko Wakabayashi
Akiko Yano
Akin Gazi
Akio Ohtsuka
Akira Nagoya
Akira Terao
Akon
Akosua Busia
Aksel Hennie
Akshay Kumar
Akshaye Khanna
Al Bandiero
Al Cliver
Al Ernest Garcia
Al Freeman
Al Gore
Al Green
Al Lettieri
Al Matthews
Al Pacino
Al Roker
Al Ruscio
Al Sanders
Al Santos
Al Sapienza
Al Thompson
Al Waxman
Al Weaver
Al Whiting
Aladdin Ullah
Alain Delon
Alain Figlarz
Alain Goulem
Alain Moussi
Alaina Reed Hall
Alaistair Foley
Alakina Mann
Alan Alda
Alan Arkin
Alan B. Jones
Alan Badel
Alan Bates
Alan Bean
Alan Blumenfeld
Alan C. Peterson
Alan Cox
Alan Cumming
Alan Dale
Alan Davidson
Alan Dexter
Alan Dukes
Alan Ford
Alan Gelfant
Alan Hale
Alan Hale Jr.
Alan Hopgood
Alan Keyes
Alan King
Alan Lee
Alan Lilly
Alan MacGillivray
Alan Marriott
Alan McRae
Alan North
Alan Oppenheimer
Alan Pietruszewski
Alan Rachins
Alan Rickman
Alan Ritchson
Alan Rosenberg
Alan Ruck
Alan Scarfe
Alan Simpson
Alan Tudyk
Alan Webb
Alan Welner
Alan Williams
Alan Zitner
Alan van Sprang
Alanis Morissette
Alanna Ubach
Alastair Cumming
Alastair Duncan
Alba Rohrwacher
Albert Brooks
Albert Daniels
Albert Dekker
Albert Delpy
Albert Dumortier
Albert Dupontel
Albert Finney
Albert Hall
Albert Henderson
Albert Millaire
Albert Rémy
Albert Salmi
Alberta Watson
Alberto Gimignani
Alberto Jiménez
Alberto San Juan
Alden Ehrenreich
Aldis Hodge
Aldo Baglio
Aldo Brugnini
Aldo Buontempo
Aldo Giuffrè
Alec Baldwin
Alec Guinness
Alec Mapa
Alec McCowen
Alec Newman
Alec Roberts
Alec Utgoff
Alec Wilson
Alecia Jai Fears
Aleisha Allen
Aleisha Force
Alejandro Abelenda
Alejandro Casaseca
Alejandro Furth
Alejandro Patino
Alejandro Ramírez-Muñoz
Alejandro Urdapilleta
Aleksa Palladino
Aleksander Mikic
Aleksandr Baluev
Aleksandr Bashirov
Aleksandr Chutko
Aleksandr Ilin
Aleksandr Robak
Aleksandr Yakovlev
Aleksei Suknovalov
Aleksey Chadov
Aleksia Landeau
Alessandra Ambrosio
Alessandra Mastronardi
Alessandro Gassman
Alessandro Lindblad
Alessandro Nivola
Alessandro Preziosi
Alessio Boni
Alex Anfanger
Alex Angulo
Alex Arsenault
Alex Barringer
Alex Boling
Alex Borstein
Alex Briley
Alex Burns
Alex Carter
Alex Colon
Alex Corrado
Alex Cox
Alex D. Linz
Alex Diakun
Alex Dimitriades
Alex Draper
Alex Désert
Alex Feldman
Alex Ferns
Alex Ferris
Alex Fong Chung-Sun
Alex Frost
Alex Gibney
Alex Goode
Alex Hyde-White
Alex Jennings
Alex Karpovsky
Alex Karras
Alex Karzis
Alex Kendrick
Alex Kingston
Alex Lawther
Alex Lombard
Alex MacQueen
Alex Manette
Alex Mauriello
Alex McArthur
Alex Meneses
Alex Meraz
Alex Michaeletos
Alex Neuberger
Alex O'Loughlin
Alex Petrovitch
Alex Pettyfer
Alex Poncio
Alex Rafalowicz
Alex Reid
Alex Rocco
Alex Roe
Alex Russell
Alex Thomas
Alex Thompson
Alex Veadov
Alex Vincent
Alex Winter
Alex Wolff
Alex Zahara
Alexa Benedetti
Alexa Davalos
Alexa Maria Surholt
Alexa Morden
Alexa Nikolas
Alexa PenaVega
Alexander Armstrong
Alexander Asefa
Alexander Beyer
Alexander Carroll
Alexander Chaplin
Alexander Conti
Alexander Delamere
Alexander DiPersia
Alexander Fehling
Alexander G. Eckert
Alexander Garfin
Alexander Godunov
Alexander Gould
Alexander Hörbe
Alexander Karim
Alexander Knox
Alexander Ludwig
Alexander Morton
Alexander Polinsky
Alexander Pollock
Alexander Scheer
Alexander Schwan
Alexander Siddig
Alexander Skarsgård
Alexander Vince
Alexander Vlahos
Alexander Voulgaris
Alexander Wauthier
Alexander Wraith
Alexander Zale
Alexandra Artrip
Alexandra Breckenridge
Alexandra Callas
Alexandra Castillo
Alexandra Daddario
Alexandra Fong
Alexandra Holden
Alexandra Jamieson
Alexandra Kamp
Alexandra Kyle
Alexandra Maria Lara
Alexandra Rapaport
Alexandra Roach
Alexandra Root
Alexandra Shipp
Alexandra Silber
Alexandra Wentworth
Alexandra Williams
Alexandre Brik
Alexandre Nachi
Alexandre Rodrigues
Alexandria Williams
Alexandru Potocean
Alexia Barlier
Alexia Fast
Alexia Rasmussen
Alexie Gilmore
Alexis Arquette
Alexis Biesiada
Alexis Bledel
Alexis Chang
Alexis Dziena
Alexis Georgoulis
Alexis Kendra
Alexis Knapp
Alexis Llewellyn
Alexis Maitland
Alexis Raben
Alexis Smith
Alexis Thorpe
Alexondra Lee
Alexys Nycole Sanchez
Alexz Johnson
Alf Humphreys
Alfie Allen
Alfie Bass
Alfie Field
Alfonso Freeman
Alfre Woodard
Alfred Abel
Alfred Hsing
Alfred Molina
Algee Smith
Ali Afshar
Ali Cobrin
Ali Danish Bakhty Ari
Ali Fadhil
Ali Hamedani
Ali Hillis
Ali Kazim
Ali Landry
Ali Larter
Ali Liebert
Ali Marhyar
Ali Marsh
Ali Milner
Ali Suliman
Ali Tataryn
Ali Yassine
Ali-Asghar Shahbazi
Alia Shawkat
Alice Braga
Alice Drummond
Alice Englert
Alice Evans
Alice Eve
Alice Faye
Alice Garner
Alice Greczyn
Alice Hunter
Alice Kremelberg
Alice Krige
Alice Parkinson
Alice Patten
Alice Pol
Alice Roberts
Alice da Cunha
Alicia Borrachero
Alicia Goranson
Alicia Keys
Alicia Mendez
Alicia Mitchell
Alicia Silverstone
Alicia Van Couvering
Alicia Vela-Bailey
Alicia Vikander
Alicia Witt
Alicia von Rittberg
Alicja Bachleda-Curuś
Alina Foley
Aliou Touré
Alisa Khazanova
Alisha Boe
Alisha Naragsheth
Alison Armitage
Alison Barry
Alison Bartlett
Alison Brie
Alison Doody
Alison Eastwood
Alison Elliott
Alison Folland
Alison Garland
Alison King
Alison Lees-Taylor
Alison Lohman
Alison Moir
Alison Monda
Alison Pill
Alison Raimondi
Alison Reid
Alison Sealy-Smith
Alison Seebohm
Alistair McGowan
Alistair Petrie
Alix Koromzay
Aliya
Alki David
Allan Bryan Weku
Allan Corduner
Allan Gildea
Allan Graf
Allan Havey
Allan Louis
Allan Wasserman
Allegra Carpenter
Allegra Fulton
Allelon Ruggiero
Allen Altman
Allen Boudreaux
Allen Covert
Allen Danziger
Allen Evangelista
Allen Fiuzat
Allen Garfield
Allen Hamilton
Allen Jenkins
Allen Joseph
Allen Leech
Allen O. Battle III
Allen Payne
Allen Yates
Allie Braun
Allie MacDonald
Allie Mickelson
Allison Cratchley
Allison Dean
Allison Egan
Allison Graham
Allison Janney
Allison Karman
Allison Kyler
Allison Mackie
Allison Macri
Allison Miller
Allison Paige
Allison Tolman
Ally Sheedy
Ally Walker
Allyce Beasley
Allyson Sereboff
Alma Sisneros
Aloma Wright
Alon Aboutboul
Alon Friedman
Alona Tal
Alonna Shaw
Alphonso McAuley
Altagracia Guzman
Altovise Davis
Alun Armstrong
Alvaro Guerrero
Alvaro Roque
Alvin Anastasia
Alvin Crawford
Alvin Lam
Alvin Van Der Kuech
Aly Michalka
Alycia Debnam-Carey
Alyshia Ochse
Alysia Reiner
Alyson Bath
Alyson Hannigan
Alyson Reed
Alyson Standen
Alyson Stoner
Alyssa Milano
Alyssa Wheeldon
Alyvia Alyn Lind
Amadu Mamadakov
Amalie Collier
Amancaya Aguilar
Amanda Barnett
Amanda Brooks
Amanda Brugel
Amanda Burton
Amanda Bynes
Amanda Byram
Amanda Crew
Amanda Detmer
Amanda Donohoe
Amanda Fairbank-Hynes
Amanda Foreman
Amanda Fuller
Amanda Lear
Amanda MacDonald
Amanda Payton
Amanda Peet
Amanda Plummer
Amanda Redman
Amanda Righetti
Amanda Sandrelli
Amanda Schull
Amanda Seyfried
Amanda Swisten
Amanda Tapping
Amanda Troya
Amanda Vogel
Amanda Walker
Amanda Wyss
Amanda de Cadenet
Amandla Stenberg
Amara Miller
Amarinder Sodhi
Amaury Nolasco
Amaya Press
Amber Armstrong
Amber Beattie
Amber Benson
Amber Gainey Meade
Amber Hay
Amber Heard
Amber Henry
Amber Lee Ettinger
Amber Marie Bollinger
Amber Marshall
Amber Rose Revah
Amber Rules
Amber Scott
Amber Smith
Amber Stevens
Amber Tamblyn
Amber Valletta
Amber Willenborg
Amberlee Colson
Ambyr Childers
Ameet Chana
Amelia Curtis
Amelia Heinle
Amelia Warner
America Ferrera
America Olivo
Ami Ameen
Ami Ayalon
Ami Foster
Amidou
Amie Petersen
Amila Terzimehic
Amina Robinson
Amir Farrokh Hashemian
Amit Patel
Amit Shah
Amitabh Bachchan
Aml Ameen
Amos Oz
Amparo Fernández
Amr Waked
Amrish Puri
Amy Acker
Amy Adams
Amy Aquino
Amy Badberg
Amy Braverman
Amy Brenneman
Amy Carlson
Amy Carson
Amy Esterle
Amy Ferguson
Amy Ganser
Amy Hargreaves
Amy Hathaway
Amy Hill
Amy Irving
Amy Lalonde
Amy Landecker
Amy Locane
Amy Madigan
Amy Morton
Amy Parrish
Amy Poehler
Amy Robinson
Amy Ryan
Amy Schumer
Amy Sedaris
Amy Seimetz
Amy Smart
Amy Sobol
Amy Steel
Amy Stewart
Amy Stock-Poynton
Amy Warren
Amy Wright
Amy Yasbeck
Ana Claudia Talancón
Ana Coto
Ana Dela Cruz
Ana Dolinar
Ana Gasteyer
Ana Girardot
Ana López Mercado
Ana Maria Guran
Ana Ortiz
Ana Torrent
Ana Valle
Ana Vatamanu
Ana Wagener
Ana de Armas
Ana de la Reguera
Analeigh Tipton
Analin Rudd
Anamaria Marinca
Anand Tiwari
Anand Upadhyaya
Ananda George
Anas Wellman
Anastasia Griffith
Anastasia Sanidopoulos Mousis
Anatol Yusef
Anatole Taubman
Anatoli Davydov
Anatoliy Solonitsyn
Anders Holm
Anderson Cooper
Andi Morrow
Andi Osho
Andie MacDowell
Andras Jones
Andre B. Blake
Andre Braugher
Andre Darnell Myers
Andre Kinney
Andre Rosey Brown
Andre Royo
Andre Stojka
Andre Ware
Andrea Anders
Andrea Avery
Andrea Baeza
Andrea Bogart
Andrea Bowen
Andrea Brooks
Andrea C. Kelley
Andrea Calligari
Andrea Eckert
Andrea Edmondson
Andrea Frankle
Andrea Lowe
Andrea Martin
Andrea Riseborough
Andrea Ros
Andrea Roth
Andrea Savage
Andrea Sheldon
Andrea Tidona
Andrea Vergara
Andreas Berg
Andreas Günther
Andreas Katsulas
Andreas Wisniewski
Andree Maranda
Andree Moss
Andrei Finti
Andrej Annenski
Andrej Nahtigal
Andres Gil
Andrew Airlie
Andrew Astor
Andrew Bachelor
Andrew Bicknell
Andrew Brooke
Andrew Bryniarski
Andrew Buchan
Andrew Buchanan
Andrew Bujalski
Andrew Caldwell
